Q1,Q2,Q3,Q4,Q4_5_TEXT,Q5,Q6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11,Q12,Technology1,Technology2,Technology3,Technology4,Technology5,Interest1,Interest2,Interest3,Interest4,Appropriate1,Appropriate2,Appropriate3,Enjoyment1,Enjoyment2,Enjoyment3,Adaptation1,Adaptation2,Adaptation3,Usefulness1,Usefulness2,Usefulness3,Usefulness4,Easiness1,Easiness2,Easiness3,Attitude1,Attitude2,Attitude3,Attitude4,BehavUse1,BehavUse2,BehavUse3,BehavUse4,BehavUse5,BehavUse6,Usage1,Usage2,Usage3,Usage4,Value1,Value2,Risk1,Risk2,Risk3,Tradition1,Tradition2,Tradition3,Tradition4,Tradition5,Image1,Image2,Quality1,Quality2,Quality3,Quality4,Quality5,Quality6,Quality7,Quality8,Quality9,Quality10,Quality11,Quality12,Quality13,Quality14,Quality15,Quality16,Quality17,Quality18,Quality19,Quality20,Quality21,Service1,Service2,Service3,Satisfaction1,Satisfaction2,Satisfaction3,Satisfaction4,Revisit1,Revisit2,Revisit3,Alternative1,Alternative2,WOM1,WOM2,WOM3,UseIntent1,UseIntent2,UseIntent3,UseIntent4,UseIntent5,UseIntent6,UseIntent7,Quality1_no,Quality2_no,Quality3_no,Quality4_no,Quality6_no,Quality7_no,Quality8_no,Quality9_no,Quality10_no,Quality11_no,Quality12_no,Quality13_no,Quality14_no,Quality15_no,Quality16_no,Quality17_no,Quality18_no,Quality19_no,Quality20_no,Quality21_no,Service1_no,Service2_no,Service3_no,Satisfaction1_no,Satisfaction2_no,Satisfaction3_no,Satisfaction4_no,Revisit1_no,Revisit2_no,Revisit3_no,Alternative1_no,Alternative2_no,WOM1_no,WOM2_no,WOM3_no,Sexo,Idade,Profissão,Educação,Rendimento,Nacionalidade
3,2,1,1,,2,8,4,4,6,7,2,7,6,6,3,7,7,7,7,7,7,3,3,1,1,7,7,7,7,7,5,5,6,5,6,6,2,6,6,6,6,3,7,3,4,7,7,6,6,5,6,6,6,6,2,6,6,5,6,5,6,6,6,3,2,6,2,2,2,2,6,3,2,2,2,2,6,6,6,4,4,6,6,6,4,3,1,1,6,6,6,5,3,3,2,2,1,6,6,6,6,5,6,6,6,6,5,3,5,6,6,6,6,6,4,5,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,2,5,3,1
4,4,1,2,,1,8,5,3,4,7,3,7,7,4,,4,5,7,6,7,7,4,1,1,1,7,6,7,7,7,2,2,1,2,3,4,4,5,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,3,2,4,4,5,4,4,4,4,4,2,5,2,2,2,4,1,2,4,6,6,6,4,4,5,5,5,3,5,5,5,5,4,6,5,4,3,4,5,3,4,4,5,4,4,3,2,3,4,3,4,3,4,4,4,4,4,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,2,4,3,1
3,3,1,2,,1,3,3,5,5,4,1,7,1,3,1,2,2,4,4,3,4,4,1,1,1,4,7,5,5,5,4,4,2,3,4,4,3,4,4,3,4,3,6,3,3,6,4,4,6,5,5,5,4,4,2,3,3,4,5,2,4,4,5,5,3,4,4,3,3,1,4,2,3,4,4,2,3,4,5,5,5,4,4,6,4,3,3,4,4,5,5,5,4,4,4,4,5,5,6,4,4,4,5,5,2,4,4,2,2,4,4,5,4,4,4,3,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,24,2,5,4,1
4,3,1,2,,1,3,6,5,6,5,3,6,6,6,,4,5,6,6,6,6,7,7,1,1,6,7,6,6,6,4,6,5,7,5,7,6,6,5,6,5,6,7,5,6,6,7,6,7,6,5,5,6,6,6,7,6,5,6,6,6,6,7,5,6,6,6,7,5,5,6,6,7,5,5,6,7,6,6,7,5,6,5,6,5,6,7,7,6,6,7,6,7,6,6,7,6,5,6,7,7,6,6,5,6,6,7,4,5,6,6,7,6,6,7,7,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,2,5,3,1
3,4,1,2,,3,7,4,5,6,6,7,5,6,5,6,5,4,6,7,5,6,7,5,1,1,4,5,7,6,7,4,5,4,5,4,7,7,3,5,7,3,6,6,5,4,6,5,4,6,4,4,5,6,5,5,6,6,6,4,6,4,4,6,6,3,5,5,7,7,3,6,6,6,5,6,3,4,4,6,6,5,5,5,6,6,5,5,6,5,4,6,4,7,4,4,6,6,4,5,5,4,6,7,7,6,6,7,2,7,5,7,4,4,7,4,4,6,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,4,4,3,1
4,4,1,2,,2,8,5,7,6,7,4,6,6,7,6,6,7,7,5,5,7,7,6,1,1,7,6,6,6,7,4,3,5,5,5,7,6,6,6,7,7,6,7,5,3,5,4,6,5,6,7,7,7,5,6,7,5,5,7,7,7,5,6,7,3,6,7,5,6,6,7,5,4,2,2,2,6,4,5,5,7,5,4,6,3,3,6,6,7,6,5,6,7,5,6,4,4,5,7,6,7,6,6,6,6,7,5,7,4,7,6,7,7,7,6,6,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,5,4,3,1
3,2,1,1,,2,1,6,5,7,7,2,7,7,4,7,5,4,7,2,7,3,4,6,1,1,2,4,4,4,3,1,6,7,6,6,5,7,6,7,7,7,4,6,2,5,5,4,2,6,7,5,7,5,4,2,6,6,3,2,1,3,4,5,6,6,7,5,6,7,6,6,5,5,7,5,5,3,7,4,6,7,6,7,7,7,5,7,4,6,4,2,3,6,6,7,3,2,2,5,7,3,5,6,7,4,6,7,5,6,5,5,6,4,5,7,6,5,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,24,4,4,3,1
3,2,1,1,,2,3,3,3,3,6,2,6,3,4,1,5,3,5,6,6,7,3,3,1,1,6,6,5,5,4,2,5,4,4,3,3,3,4,4,3,4,2,4,4,6,5,5,4,4,6,4,4,3,4,4,4,4,3,5,3,4,4,4,4,4,4,4,5,3,3,4,4,4,3,3,3,4,4,3,4,4,3,3,5,4,4,5,3,3,4,5,4,6,5,3,3,3,4,5,4,4,4,3,4,3,4,3,3,3,4,5,4,3,3,3,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,2,5,3,2
4,3,1,2,,2,8,4,1,1,7,5,4,6,4,5,6,7,7,7,6,7,1,1,1,1,7,6,7,7,7,7,7,7,6,7,7,5,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,5,1,1,1,1,1,1,1,1,1,4,5,5,5,5,4,6,6,5,5,4,5,6,5,6,5,5,6,5,5,4,4,6,7,5,5,4,6,6,6,4,6,6,5,2,6,4,4,4,2,4,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,5,4,4,1
4,5,1,1,,2,3,5,7,6,6,7,7,6,6,,6,5,4,5,4,5,7,6,1,2,5,7,7,6,6,5,6,6,7,6,6,6,7,6,7,7,5,6,6,7,7,5,6,7,6,5,6,6,7,7,6,7,6,6,7,5,5,5,7,6,7,6,6,7,5,6,7,7,6,5,6,5,6,7,6,7,7,6,7,6,5,6,5,7,6,6,6,7,6,5,5,6,7,6,6,5,5,6,7,7,6,6,6,7,5,6,6,7,7,6,6,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,4,4,3,1
5,3,1,1,,2,3,6,7,7,5,7,7,7,7,7,5,7,4,5,6,7,5,6,1,1,7,6,7,7,7,7,7,6,7,7,6,7,7,6,7,7,6,7,6,7,6,7,6,7,6,6,7,7,6,7,6,7,6,7,7,7,7,7,7,7,7,6,7,5,5,6,7,7,6,6,7,6,6,6,6,6,6,6,7,6,4,3,2,1,7,6,5,7,7,6,7,6,7,7,7,6,6,6,6,7,7,6,6,6,6,4,7,5,7,7,6,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,2,4,2,1
3,3,1,2,,2,3,6,5,6,7,6,7,6,6,3,6,5,7,6,5,6,6,5,1,1,5,6,5,5,7,4,4,5,6,4,6,6,5,6,5,5,5,6,6,4,4,7,7,6,6,4,5,6,6,4,5,5,7,5,4,5,5,4,5,6,5,5,6,5,5,6,4,5,6,6,6,6,6,5,3,6,4,6,5,5,5,7,5,5,7,5,5,6,6,5,5,7,4,5,6,6,6,5,5,2,6,6,6,6,6,6,6,6,6,6,7,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,5,4,2,1
3,3,1,2,,2,2,4,5,5,5,6,6,6,5,2,6,5,6,6,4,5,6,2,1,2,5,5,7,6,4,6,6,5,7,6,5,7,6,5,7,5,7,5,4,6,6,5,5,6,7,5,7,4,6,6,5,6,6,6,5,6,5,5,7,5,7,5,6,6,6,6,4,7,6,5,7,4,6,7,6,6,6,6,5,4,5,5,6,7,4,5,4,6,6,6,7,5,6,7,5,5,5,6,6,5,5,7,5,7,5,5,7,6,5,5,6,5,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,5,4,2,1
2,3,1,2,,3,4,4,4,5,7,6,7,7,4,4,6,4,5,6,5,4,7,5,2,,4,6,7,5,7,4,5,3,4,6,7,6,4,5,4,5,6,3,4,5,6,5,5,6,5,5,7,4,6,4,6,4,4,2,6,5,7,6,4,5,6,2,7,7,4,5,4,6,7,4,5,4,3,6,7,6,5,5,5,6,3,2,6,7,3,3,6,6,4,2,6,6,2,7,6,5,5,4,6,6,7,4,5,4,5,6,3,5,4,3,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,4,4,3,1
2,2,1,2,,1,3,4,5,5,5,5,1,4,4,3,4,5,7,3,5,5,6,4,1,1,2,2,4,4,1,3,5,5,3,4,4,7,3,5,7,3,5,6,5,5,6,5,4,6,6,4,5,6,6,5,4,6,5,7,7,5,3,3,5,5,7,6,6,6,5,6,7,6,5,3,6,4,4,5,5,5,5,6,6,5,5,6,5,5,7,5,3,2,5,4,5,7,4,4,6,5,6,6,5,4,3,5,6,6,5,5,7,4,5,4,5,6,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,2,3,3,2
4,3,1,1,,2,2,5,6,6,4,6,5,5,6,5,4,4,5,5,4,6,4,4,1,1,5,6,6,5,7,6,7,5,5,7,6,6,5,4,7,5,6,6,7,6,5,4,5,6,6,7,6,6,7,6,5,7,7,6,7,5,6,6,7,6,6,7,5,5,6,6,7,7,6,5,6,6,6,7,5,5,4,6,5,5,7,7,4,6,4,5,6,6,5,5,7,7,5,6,7,5,6,6,7,5,6,7,6,6,7,6,4,5,7,7,6,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,5,3,2,1
4,3,1,4,,2,6,6,5,3,6,2,5,5,2,3,3,7,7,5,6,4,6,4,1,1,4,4,5,5,6,2,6,5,5,6,6,6,5,4,6,3,6,5,4,6,5,5,6,5,6,5,5,6,6,3,5,6,6,5,5,3,5,4,6,3,6,4,5,5,3,5,6,6,6,5,6,4,6,5,6,6,6,7,5,5,3,3,7,5,5,5,7,6,5,5,4,5,3,3,6,3,5,4,6,4,4,6,3,6,2,4,4,4,6,5,5,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,1,2,3,1
3,3,1,2,,2,4,4,6,7,5,7,6,5,5,2,5,7,6,7,6,6,5,4,1,1,5,6,6,5,6,5,6,5,6,6,7,5,5,5,7,6,5,6,5,5,7,6,5,7,7,5,6,6,7,6,6,6,7,6,4,7,5,6,6,6,6,5,5,5,6,5,7,6,7,5,6,5,5,6,6,6,7,5,6,6,5,6,7,5,5,6,5,6,6,7,4,7,5,6,5,5,6,6,7,5,5,7,5,6,6,5,6,5,6,6,6,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,5,4,3,1
3,3,1,2,,2,3,5,7,6,5,6,7,4,5,2,5,7,6,7,6,7,5,3,1,2,6,7,6,7,7,5,5,6,6,6,6,5,3,6,6,6,6,6,4,5,6,6,6,7,5,5,7,6,5,5,7,5,6,6,5,6,5,6,5,6,7,6,7,7,4,5,7,7,6,5,6,6,6,7,5,5,7,6,7,5,5,6,7,6,5,6,7,5,6,6,6,5,6,6,7,5,7,6,7,5,6,7,5,6,6,5,6,5,5,7,5,5,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,5,4,3,1
4,5,1,3,,1,2,6,6,6,7,7,5,7,7,5,5,7,5,6,6,7,5,5,1,1,5,6,7,6,7,6,7,6,7,6,6,7,7,5,7,6,7,6,7,5,6,6,5,6,7,6,7,5,6,6,5,5,7,7,6,6,6,1,6,7,6,6,6,7,6,6,7,6,6,6,7,6,6,5,6,6,6,7,7,7,6,7,6,6,7,6,6,7,6,4,6,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,4,4,4,1
3,3,1,2,,1,3,,5,5,6,4,6,7,7,5,5,6,5,6,5,6,7,6,1,1,7,6,6,7,5,4,5,6,5,5,6,6,6,5,6,7,7,6,7,6,7,6,5,6,6,6,7,6,7,6,5,7,6,7,7,7,6,6,5,5,7,6,5,4,6,4,6,7,5,6,4,6,6,4,5,6,7,7,6,5,6,5,5,4,6,6,5,7,6,5,1,4,5,6,5,5,6,4,6,5,7,5,6,6,5,7,6,5,5,4,6,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,3,4,4,1
4,3,1,2,,2,2,6,4,5,5,6,6,6,7,,5,6,7,6,6,7,5,5,1,2,6,7,7,6,6,5,7,5,6,7,6,5,6,7,7,5,6,7,7,5,6,6,5,6,7,6,6,6,7,7,6,6,7,7,7,5,6,7,7,4,6,7,6,7,7,4,6,6,7,5,6,6,7,6,5,6,5,4,6,5,6,5,7,6,6,6,5,6,7,7,6,5,6,7,7,7,6,6,6,6,6,6,5,7,7,7,7,6,7,7,4,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,4,4,3,1
4,4,1,2,,2,2,6,6,7,4,4,5,5,6,6,7,7,6,4,6,6,7,6,1,1,5,6,6,7,6,5,6,4,5,6,6,7,5,5,6,7,7,5,6,6,5,7,5,5,6,7,6,5,5,7,4,4,5,6,6,6,6,7,6,5,6,6,7,5,7,7,5,6,6,4,6,7,5,5,6,6,7,4,5,6,6,7,6,5,7,6,7,7,4,5,6,6,4,6,6,4,6,7,6,7,6,7,4,5,5,7,7,6,4,5,6,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,5,4,2,1
3,3,1,2,,2,3,5,6,6,6,4,6,7,5,5,5,7,6,7,6,6,7,6,1,1,6,6,6,6,6,7,4,3,7,5,6,5,5,6,7,6,5,5,5,6,7,5,6,7,6,5,6,7,4,6,6,6,5,6,5,6,5,7,5,6,7,5,7,5,6,5,6,6,7,5,6,5,7,7,7,5,6,7,5,5,6,5,5,6,6,5,5,4,5,7,6,7,6,6,5,5,6,6,6,6,6,6,5,7,7,7,5,5,5,5,6,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,5,4,3,1
4,1,1,3,,2,3,3,5,6,7,6,5,5,6,7,6,7,7,6,5,5,7,7,1,1,4,5,5,4,3,5,4,2,2,6,4,5,6,4,4,6,4,6,6,4,1,2,6,5,6,6,3,4,4,5,5,5,5,4,4,5,5,3,2,6,7,5,3,4,5,4,2,2,1,5,5,5,3,1,1,2,4,3,5,1,1,4,5,3,4,1,2,4,5,4,4,5,4,4,5,6,4,3,6,5,2,3,6,4,2,5,7,5,1,2,1,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,1,5,4,1
2,3,1,2,,1,2,3,3,5,5,4,4,6,6,6,4,4,3,3,4,4,4,5,1,1,4,5,5,5,6,5,5,5,6,4,5,5,4,5,6,5,6,5,5,5,5,6,5,5,5,5,7,5,6,5,6,5,6,6,6,5,6,5,4,5,5,5,5,5,5,6,7,6,6,5,6,6,6,4,5,5,5,5,5,4,6,6,5,5,6,5,6,5,6,5,6,5,5,5,5,5,5,5,5,5,6,6,4,5,5,5,6,6,6,5,6,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,3,4,2,1
3,3,1,2,,2,3,6,7,6,4,4,4,5,5,2,5,6,7,6,4,5,5,4,1,2,6,6,6,6,7,6,7,6,4,5,5,5,6,5,6,5,6,5,4,6,6,6,6,6,6,3,5,6,6,6,6,5,5,4,6,5,6,6,7,6,7,6,5,6,5,6,7,6,7,6,6,6,7,7,4,5,6,6,7,5,5,5,6,6,6,6,5,5,6,5,7,7,5,4,5,6,7,6,7,5,6,7,6,6,5,5,6,6,5,7,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,5,4,3,1
3,3,1,2,,2,4,5,6,5,4,6,7,6,5,3,4,5,7,6,4,6,4,2,1,1,5,6,6,6,5,5,6,5,5,4,5,7,6,6,6,6,6,7,6,6,6,5,6,6,6,6,6,7,6,5,6,6,7,6,6,5,5,7,6,6,6,6,7,6,5,5,7,6,6,5,6,5,7,6,6,7,5,5,6,5,6,6,6,6,6,7,6,5,5,5,3,7,6,5,7,5,7,6,6,6,7,5,5,6,6,5,7,6,5,5,5,5,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,5,4,3,1
4,5,1,3,,2,4,5,7,6,5,5,5,7,6,6,5,6,6,5,5,6,7,6,1,1,5,7,6,6,7,7,4,5,5,5,6,4,5,5,7,5,5,4,4,7,6,7,5,6,7,6,6,7,6,5,6,6,7,6,7,4,5,5,6,7,6,5,7,6,5,6,7,6,7,6,7,5,6,7,6,7,7,6,6,7,7,6,5,6,4,6,7,5,5,4,5,6,5,7,7,6,6,4,7,4,6,6,7,6,6,6,5,6,5,7,6,6,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,2,4,3,1
3,3,1,2,,2,2,4,6,6,6,6,5,6,6,3,5,7,6,7,6,6,7,3,1,2,6,6,5,7,5,6,7,6,7,5,6,6,5,6,6,5,6,6,4,6,7,6,4,7,5,5,6,7,6,6,7,5,6,5,6,6,6,4,6,6,6,5,7,6,6,6,5,7,6,5,5,6,6,6,6,7,6,5,6,6,7,5,5,7,6,5,3,5,7,7,6,7,5,7,7,5,6,7,6,5,5,7,5,6,5,7,5,6,6,6,7,6,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,5,4,4,1
3,3,1,3,,2,2,5,5,7,5,7,5,5,4,3,5,6,6,6,7,6,5,2,1,1,6,6,5,6,6,5,5,6,5,6,6,5,6,6,7,5,6,6,5,6,6,7,5,6,6,5,6,7,6,6,5,3,6,5,6,5,6,7,7,6,7,6,7,5,5,7,6,7,7,5,7,5,5,6,7,6,5,5,6,7,5,7,7,7,6,6,7,7,7,7,7,7,6,6,7,6,6,7,6,6,5,7,5,6,6,5,6,6,7,6,5,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,5,4,3,1
5,5,1,3,,2,3,4,6,6,6,6,7,6,6,5,6,6,5,6,3,6,5,5,1,2,5,5,6,6,7,7,6,6,6,5,6,5,7,7,7,4,6,7,5,5,7,7,5,7,7,5,6,7,5,6,6,6,6,6,6,7,7,6,5,7,4,4,6,5,6,7,7,6,6,6,7,6,7,3,6,6,6,6,5,4,6,6,7,7,6,5,6,7,3,2,3,2,6,6,6,6,5,6,5,5,5,6,6,7,6,5,4,4,7,5,6,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,4,4,3,1
4,3,1,2,,2,3,5,5,5,6,6,7,4,4,4,7,5,6,7,6,7,4,4,1,1,5,7,6,6,7,6,7,6,6,6,6,5,7,7,7,7,7,4,6,5,6,6,6,6,6,7,6,6,6,7,6,6,6,6,2,6,6,6,6,3,6,6,7,7,6,5,6,4,4,5,5,5,6,5,5,5,4,5,5,4,4,6,5,4,5,6,6,5,6,5,6,6,5,4,4,6,5,6,6,5,6,6,5,5,6,6,5,5,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,3,5,3,1
4,4,1,3,,1,8,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,,7,7,7,7,7,5,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,4,7,7,6,6,6,6,5,4,5,4,6,5,6,6,7,6,7,7,7,6,6,4,7,7,7,7,4,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,2,5,3,1
2,3,1,2,,2,3,5,1,5,5,2,7,1,3,1,7,3,7,7,3,5,1,1,1,1,3,5,5,5,3,3,1,2,3,3,3,3,3,3,2,3,3,7,3,2,7,3,5,3,5,3,3,3,3,3,3,5,3,1,2,2,3,3,5,3,3,3,3,3,5,3,3,2,5,3,3,3,3,3,3,6,3,3,5,7,1,1,1,5,5,5,5,7,7,1,1,7,3,3,3,5,5,5,5,5,5,5,6,5,5,5,5,3,3,3,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,2,4,3,1
3,3,1,1,,2,8,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,4,3,4,1,4,2,3,7,1,3,3,3,7,1,2,1,1,3,1,1,2,3,2,4,3,4,3,3,2,4,4,3,1,2,3,2,1,2,2,2,2,2,2,1,3,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,2,4,4,1
6,2,1,2,,1,3,3,4,2,7,1,7,1,4,1,7,4,7,7,6,7,3,1,1,1,7,7,7,7,7,2,4,4,4,6,4,4,7,4,4,7,3,7,7,3,7,5,6,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,4,2,6,3,5,1,2,4,2,2,2,1,1,5,6,6,6,6,4,4,6,3,3,6,6,4,4,4,4,6,6,4,4,2,5,5,5,6,6,6,6,5,5,5,2,2,5,7,5,5,5,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,5,5,3,1
3,2,1,1,,1,8,5,4,5,7,4,7,4,6,,6,1,6,6,2,6,1,1,1,1,5,6,6,6,7,4,3,3,3,5,5,2,5,5,4,6,4,7,5,3,6,4,4,4,4,5,4,5,4,4,4,4,4,5,3,5,5,5,5,2,3,5,6,2,2,4,4,4,3,3,3,5,5,4,3,3,1,4,6,4,2,4,3,5,5,5,5,5,5,3,5,6,5,5,5,5,5,5,5,4,5,2,5,2,5,6,3,5,5,5,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,2,5,4,1
3,3,1,1,,2,4,6,5,6,,5,7,6,7,7,6,3,5,6,6,6,6,7,1,1,5,7,6,6,6,4,5,5,6,6,5,3,6,6,6,7,5,6,6,6,6,7,7,7,6,6,6,6,6,5,6,6,5,6,3,6,5,6,6,2,6,2,2,2,4,5,2,3,2,4,3,6,6,5,5,6,6,6,6,3,2,5,2,4,6,6,2,6,5,5,3,6,5,5,6,6,6,6,5,5,5,5,4,2,6,6,6,6,5,5,5,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,5,5,3,1
5,3,1,1,,3,4,4,7,5,,4,7,6,5,1,2,2,6,7,6,7,2,1,1,1,5,5,5,5,5,5,4,4,4,4,4,3,3,3,4,5,5,4,4,4,4,6,4,5,5,6,5,5,5,4,4,4,6,6,3,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,5,5,5,4,5,4,5,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,2,5,3,1
3,2,1,3,,1,3,4,5,5,5,5,4,4,5,4,3,5,5,4,3,3,3,5,2,,4,3,2,2,5,5,4,3,5,3,3,3,3,2,4,4,4,5,4,4,4,7,5,3,3,4,4,3,4,4,4,5,3,3,2,4,3,2,4,4,4,3,4,4,4,4,3,3,3,2,4,3,1,2,1,2,3,3,5,4,4,3,4,3,3,4,5,4,3,2,4,6,4,3,4,3,2,1,2,4,3,5,4,2,4,2,2,3,2,3,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,2,3,3,2
4,4,1,2,,1,4,5,4,6,6,3,7,6,5,5,5,6,7,6,7,7,6,4,1,1,6,7,5,7,6,5,5,7,4,5,5,4,6,7,7,5,5,6,5,5,5,6,5,7,6,6,6,6,7,5,7,5,6,6,6,6,7,7,5,5,6,3,3,3,5,6,3,3,2,2,3,5,6,6,5,5,6,6,6,5,5,4,5,6,6,7,7,6,6,6,4,6,6,6,6,6,5,7,7,6,7,6,5,5,5,7,7,6,7,7,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,4,4,4,1
4,3,1,2,,3,3,5,4,5,7,4,7,5,7,1,7,6,7,7,5,7,6,1,1,1,6,7,7,6,7,5,6,5,6,6,6,5,6,6,7,7,5,7,7,5,7,6,6,6,7,6,6,7,5,7,6,7,4,6,3,6,6,7,7,2,4,5,6,5,6,5,5,4,4,3,3,5,6,4,5,6,5,5,6,4,4,5,6,6,4,5,4,3,4,3,4,6,5,5,6,5,6,6,6,6,7,7,5,6,6,6,7,5,6,6,6,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,2,5,3,1
4,3,1,1,,1,4,6,7,4,4,4,6,7,5,5,4,5,7,6,4,7,6,6,1,1,6,7,7,5,6,6,6,6,5,6,5,7,5,6,5,6,7,4,5,7,6,6,4,6,5,6,7,6,5,5,7,5,5,7,6,4,5,5,6,5,7,5,6,5,6,5,6,5,3,6,4,6,7,5,6,6,6,4,6,7,5,6,7,6,5,6,6,6,3,6,6,4,6,6,6,5,6,6,7,5,6,6,5,7,7,5,5,5,6,7,5,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,4,4,3,1
3,3,1,2,,1,3,5,5,5,5,6,6,6,6,5,7,6,5,5,5,4,3,6,1,1,6,6,6,5,6,6,6,6,6,5,5,6,5,6,6,6,6,6,6,6,6,5,6,6,5,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,7,5,7,7,6,6,6,5,6,6,5,6,6,6,5,7,7,6,7,5,6,6,6,7,6,5,6,6,7,6,6,6,6,7,7,5,6,7,7,6,6,6,6,7,7,6,6,6,7,7,6,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,4,3,3,1
